FID,Name,ID,State,Network,County,Elevation_,Latitude,Longitude,HUC,Date_of_Da,Date_Repor,Value_inch,Percent_NR,Percent__1,Percent_of,Percent__2,Percent__3,Percent__4,Percent__5,Percent__6,Percent__7,POR_Median,Percentile,Maximum_Ra,Minimum_Ra,Records_PO,NRCS_1991_,NRCS_19911,POR_Averag,POR_Medi_1,Minimum_PO,Maximum_PO,Year_of_Mi,Year_of_Ma,Number_of_
27,Barkerville,1A03P	,British Columbia,Cooperator Snow Sensors, ,4865,53.049999999999997,-121.483329999999995, ,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.100000000000000,0,0,100,0,1,1,1,1,1,0.100000000000000,96,2,27,2nd Highest,0.000000000000000,0.000000000000000,0.100000000000000,0,0,2.500000000000000,"2019, 2020, 2021, more",1985,29
28,Barnes Creek,2B06P	,British Columbia,Cooperator Snow Sensors, ,5233,50.066670000000002,-118.349999999999994,170200010305	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.100000000000000,50,0,50,0,0,0,0,0,0,0.100000000000000,85,5,22, ,0.200000000000000,0.000000000000000,0.200000000000000,0,0,2.000000000000000,"2014, 2015, 2021, more",1996,28
29,Base Camp,314	,Wyoming,SNOTEL,Teton,7060,43.940190000000001,-110.445440000000005,170401010304	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",42
30,Basin Creek,315	,Montana,SNOTEL,Silver Bow,7180,45.797370000000001,-112.520470000000003,170102010201	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,93,4,1,Lowest,0.100000000000000,0.000000000000000,0.200000000000000,0,0,5.600000000000000,"2020, 2021, 2022, more",1982,42
31,Bateman,316	,New Mexico,SNOTEL,Rio Arriba,9249,36.511740000000003,-106.315430000000006,130201020901	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",43
32,Battle Mountain,317	,Wyoming,SNOTEL,Carbon,7498,41.054020000000001,-107.266739999999999,140500030109	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",37
33,Beach Meadows,BCH	,California,Cooperator Snow Sensors,Tulare,7650,36.127000000000002,-118.293000000000006,180300010403	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",29
34,Beagle Springs,318	,Montana,SNOTEL,Beaverhead,8850,44.471469999999997,-112.981909999999999,100200010501	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.100000000000000,0,0,0,0,1,1,1,1,1,0.100000000000000,98,2,43,2nd Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.300000000000000,"2019, 2020, 2021, more",1998,44
35,Bear Basin,319	,Idaho,SNOTEL,Adams,5350,44.952219999999997,-116.142930000000007,170602100104	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.100000000000000,0,0,0,0,1,1,1,1,1,0.100000000000000,100,1,42,Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.100000000000000,"2019, 2020, 2021, more",2022,42
36,Bear Canyon,320	,Idaho,SNOTEL,Custer,7900,43.743670000000002,-113.937970000000007,170402180101	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.900000000000000,900,0,900,0,8,6,6,6,6,0.900000000000000,98,2,41,2nd Highest,0.100000000000000,0.000000000000000,0.100000000000000,0,0,2.000000000000000,"2019, 2020, 2021, more",1995,42
37,Bear Creek,321	,Nevada,SNOTEL,Elko,8040,41.833840000000002,-115.452780000000004,170501020301	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,93,4,1,Lowest,0.400000000000000,0.000000000000000,0.600000000000000,0,0,12.699999999999999,"2020, 2021, 2022, more",1984,43
38,Bear Grass,1166	,Oregon,SNOTEL,Linn,4720,44.325299999999999,-122.093800000000002,170900040203	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",14.300000000000001,0,0,650,0,27,0,0,30,29,14.300000000000001,100,1,11,Highest,0.000000000000000,0.000000000000000,2.200000000000000,0,0,14.300000000000001,"2019, 2020, 2021, more",2022,11
39,Bear Lake,322	,Colorado,SNOTEL,Larimer,9522,40.311760000000000,-105.646699999999996,101900060201	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,95,3,1,Lowest,0.400000000000000,0.000000000000000,0.300000000000000,0,0,6.100000000000000,"2020, 2021, 2022, more",1995,42
40,Bear Mountain,323	,Idaho,SNOTEL,Bonner,5400,48.305770000000003,-116.074479999999994,170102131202	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",27.199999999999999,257,697,267,1360,51,46,46,47,48,25.199999999999999,85,7,34, ,10.600000000000000,3.900000000000000,10.199999999999999,2,0,49.100000000000001,"2016, 2019, 2021, more",2011,40
41,Bear River,1061	,Colorado,SNOTEL,Routt,9112,40.061520000000002,-107.009479999999996,140500010102	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",18
42,Bear River RS,992	,Utah,SNOTEL,Summit,8777,40.885199999999998,-110.827699999999993,160101010106	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",12
43,Bear Saddle,324	,Idaho,SNOTEL,Washington,6180,44.605330000000002,-116.980969999999999,170501241001	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.100000000000000,0,0,0,0,1,0,0,0,0,0.100000000000000,100,1,41,Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.100000000000000,"2019, 2020, 2021, more",2022,41
44,Bear Trap Meadow,325	,Wyoming,SNOTEL,Johnson,8200,43.887430000000002,-107.061350000000004,100902010205	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",42
45,Beartooth Lake,326	,Wyoming,SNOTEL,Park,9360,44.943069999999999,-109.567430000000002,100700060206	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",13.300000000000001,164,242,173,242,61,50,53,51,53,7.800000000000000,78,10,33, ,8.100000000000000,5.500000000000000,7.700000000000000,6,0,27.800000000000001,"2015, 2016, 2021, more",2011,42
46,Beartown,327	,Colorado,SNOTEL,San Juan,11600,37.714329999999997,-107.512400000000000,130100010104	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.300000000000000,60,0,75,0,1,1,1,1,1,0.300000000000000,92,4,37, ,0.500000000000000,0.000000000000000,0.400000000000000,0,0,10.100000000000000,"2018, 2020, 2021, more",1995,40
47,Beaver Ck Village,1041	,Colorado,SNOTEL,Eagle,8565,39.598709999999997,-106.511129999999994,140100030301	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.100000000000000,0,0,0,0,1,1,1,1,1,0.100000000000000,100,1,19,Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.100000000000000,"2019, 2020, 2021, more",2022,19
48,Beaver Creek,328	,Montana,SNOTEL,Gallatin,7850,44.949660000000002,-111.358519999999999,100200070402	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,84,10,1,Lowest,0.500000000000000,0.000000000000000,0.700000000000000,0,0,12.000000000000000,"2020, 2021, 2022, more",1982,56
49,Beaver Dams,329	,Utah,SNOTEL,Sanpete,7990,39.136830000000003,-111.558130000000006,160300040402	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",42
50,Beaver Divide,330	,Utah,SNOTEL,Summit,8280,40.612330000000000,-111.097819999999999,160202030105	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",44
51,Beaver Head,902	,Arizona,SNOTEL,Greenlee,8076,33.691150000000000,-109.216849999999994,150601010107	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.300000000000000,0,0,0,0,13,7,9,7,9,0.300000000000000,100,1,29,Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.300000000000000,"2019, 2020, 2021, more",2022,29
52,Beaver Pass,990	,Washington,SNOTEL,Whatcom,3630,48.879300000000001,-121.255499999999998,171100050605	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0, ,4.500000000000000,0.000000000000000,4.500000000000000,1,0,29.300000000000001,"2018, 2019, 2020, more",2012,20
53,Beaver Reservoir,331	,Oregon,SNOTEL,Union,5150,45.145319999999998,-118.218999999999994,170601040301	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",42
54,Beaver Spring,1143	,Arizona,SNOTEL,Apache,9255,36.326709999999999,-109.057019999999994,140802040401	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",13
55,Ben Lomond Peak,332	,Utah,SNOTEL,Weber,7689,41.376030000000000,-111.944050000000004,160201020302	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.800000000000000,114,0,80,0,4,2,2,2,2,0.800000000000000,88,6,38, ,0.700000000000000,0.000000000000000,1.000000000000000,0,0,19.600000000000001,"2019, 2020, 2021, more",1983,44
56,Ben Lomond Trail,333	,Utah,SNOTEL,Weber,5972,41.382910000000003,-111.921030000000002,160201020302	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",42
57,Berry Creek,334	,Nevada,SNOTEL,White Pine,9377,39.319170000000000,-114.622780000000006,160600081301	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,85,7,1,Lowest,2.300000000000000,0.000000000000000,1.600000000000000,0,0,16.600000000000001,"2020, 2021, 2022, more",1998,42
58,Berthoud Summit,335	,Colorado,SNOTEL,Grand,11314,39.803640000000001,-105.777860000000004,140100010202	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,81,9,1,Lowest,0.600000000000000,0.000000000000000,1.500000000000000,0,0,18.800000000000001,"2020, 2021, 2022, more",1983,44
59,Bettles Field,1182	,Alaska,SNOTEL,Yukon-Koyukuk,640,66.916669999999996,-151.533330000000007,190901012604	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.200000000000000,0,0,0,0,2,3,3,3,3,0.200000000000000,100,1,42,Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.200000000000000,"2019, 2020, 2021, more",2022,42
60,Bevans Cabin,1214	,Utah,SNOTEL,Tooele,6520,40.461820000000003,-112.252330000000001,160203040401	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",11
61,Big Bend,336	,Nevada,SNOTEL,Elko,6898,41.761679999999998,-115.693100000000001,170501040104	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",44
62,Big Creek Sum,337	,Nevada,SNOTEL,Lander,8685,39.291480000000000,-117.115060000000000,160401070303	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,98,2,1,Lowest,0.100000000000000,0.000000000000000,0.100000000000000,0,0,3.600000000000000,"2020, 2021, 2022, more",1998,42
63,Big Creek Summit,338	,Idaho,SNOTEL,Valley,6560,44.626210000000000,-115.795609999999996,170602080402	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,85,7,1,Lowest,0.900000000000000,0.000000000000000,1.600000000000000,0,0,21.100000000000001,"2020, 2021, 2022, more",1982,41
64,Big Flat,339	,Utah,SNOTEL,Beaver,10349,38.301830000000002,-112.356719999999996,160300070202	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.600000000000000,10,0,11,200,3,3,3,3,3,0.300000000000000,53,21,23, ,5.900000000000000,0.000000000000000,5.700000000000000,0,0,26.100000000000001,"2018, 2020, 2021, more",2019,44
65,Big Flat,BFL	,California,Cooperator Snow Sensors,Trinity,5100,41.079999999999998,-122.941999999999993,180102110102	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",31
66,Big Goose,931	,Wyoming,SNOTEL,Sheridan,7990,44.579239999999999,-107.200680000000006,100901010103	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.100000000000000,0,0,0,0,1,1,1,1,1,0.100000000000000,100,1,24,Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.100000000000000,"2019, 2020, 2021, more",2022,24
67,Big Meadow,340	,Nevada,SNOTEL,Washoe,8235,39.454999999999998,-119.942200000000000,160501020505	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,97,2,1,Lowest,0.100000000000000,0.000000000000000,0.100000000000000,0,0,2.500000000000000,"2020, 2021, 2022, more",1995,39
68,Big Meadows,BIM	,California,Cooperator Snow Sensors,Tulare,7600,36.716999999999999,-118.841999999999999,180300100403	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,93,3,1,Lowest,0.000000000000000,0.000000000000000,1.100000000000000,0,0,32.700000000000003,"2017, 2021, 2022, more",1983,29
69,Big Pine Creek,BGP	,California,Cooperator Snow Sensors,Inyo,9800,37.128000000000000,-118.474999999999994,180901020709	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,96,2,1,Lowest,0.100000000000000,0.000000000000000,0.000000000000000,0,0,2.000000000000000,"2017, 2018, 2022, more",1995,29
70,Big Red Mountain,341	,Oregon,SNOTEL,Jackson,6050,42.052570000000003,-122.854870000000005,171003090301	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,88,6,1,Lowest,1.700000000000000,0.000000000000000,1.400000000000000,0,0,24.300000000000001,"2020, 2021, 2022, more",2011,42
